Distributors,Retailers,PO_Number,PO_Date,PO_Requested_Delivery_Date,PO_Amount,PO_Status,Actual Fulfillment Date,Invoice_Number,Invoice_Date,Invoice_Amount,Shipping_City,Shipping_State,Shipping_State_Code,Shipping_Country,Shipping_Country_Code,Shipping_Postal_Code,PO_Link,Manual_Invoice_Link,SPS_Invoices,Manual_Invoice_Link1,year_month_PO,Delay_Days,PO_Delivery_Status,UPC/GTIN,SKU,SKU_Qty,PO_Case_Price,PO_Sales,Invoice_Qty,Invoice_Case_Price,Status,total_sales,Box_per_Case,Location,Qty Diff,Amt Diff,Channel,Unit List Cost,Common_PO_Date,Common_Invoice_Date,New_PO_Delivery_Status,New_Status
AG Baton Rouge,AG Baton Rouge,PO473870,2024-04-05,2024-04-19,13518.24,Fulfilled,2024-04-18,AG001,2024-04-18,13518.24, Baton Rouge,Los Angeles,LA,United States,US,70810,PO473870.pdf,https://ecosoulhome.sharepoint.com/:b:/s/Dataanalytics_Ecosoul/Efj9RqlbfGdDkm1VWvNbl8EBsi2zPkO7SmCZVo2VKNBwMg?e=cz074r,,,2024-4,-1.0,Delivered on Time,850023080742.0,CBP10RO20,48.0,25.6,1228.8,48.0,25.6,Fulfilled,1228.8,8.0,East,0.0,0.0,Retail,3.2,Apr-2024,Apr-2024,Fulfilled,Fulfilled
AG Baton Rouge,AG Baton Rouge,PO473870,2024-04-05,2024-04-19,13518.24,Fulfilled,2024-04-18,AG001,2024-04-18,13518.24, Baton Rouge,Los Angeles,LA,United States,US,70810,PO473870.pdf,https://ecosoulhome.sharepoint.com/:b:/s/Dataanalytics_Ecosoul/Efj9RqlbfGdDkm1VWvNbl8EBsi2zPkO7SmCZVo2VKNBwMg?e=cz074r,,,2024-4,-1.0,Delivered on Time,850023080551.0,CBP9RO20,85.0,18.0,1530.0,85.0,18.0,Fulfilled,1530.0,8.0,East,0.0,0.0,Retail,2.25,Apr-2024,Apr-2024,Fulfilled,Fulfilled
AG Baton Rouge,AG Baton Rouge,PO473870,2024-04-05,2024-04-19,13518.24,Fulfilled,2024-04-18,AG001,2024-04-18,13518.24, Baton Rouge,Los Angeles,LA,United States,US,70810,PO473870.pdf,https://ecosoulhome.sharepoint.com/:b:/s/Dataanalytics_Ecosoul/Efj9RqlbfGdDkm1VWvNbl8EBsi2zPkO7SmCZVo2VKNBwMg?e=cz074r,,,2024-4,-1.0,Delivered on Time,850023080575.0,CBB16RO20,45.0,18.0,810.0,45.0,18.0,Fulfilled,810.0,8.0,East,0.0,0.0,Retail,2.25,Apr-2024,Apr-2024,Fulfilled,Fulfilled
AG Baton Rouge,AG Baton Rouge,PO473870,2024-04-05,2024-04-19,13518.24,Fulfilled,2024-04-18,AG001,2024-04-18,13518.24, Baton Rouge,Los Angeles,LA,United States,US,70810,PO473870.pdf,https://ecosoulhome.sharepoint.com/:b:/s/Dataanalytics_Ecosoul/Efj9RqlbfGdDkm1VWvNbl8EBsi2zPkO7SmCZVo2VKNBwMg?e=cz074r,,,2024-4,-1.0,Delivered on Time,850023080612.0,CCS24,60.0,48.0,2880.0,60.0,48.0,Fulfilled,2880.0,24.0,East,0.0,0.0,Retail,2.0,Apr-2024,Apr-2024,Fulfilled,Fulfilled
AG Baton Rouge,AG Baton Rouge,PO473870,2024-04-05,2024-04-19,13518.24,Fulfilled,2024-04-18,AG001,2024-04-18,13518.24, Baton Rouge,Los Angeles,LA,United States,US,70810,PO473870.pdf,https://ecosoulhome.sharepoint.com/:b:/s/Dataanalytics_Ecosoul/Efj9RqlbfGdDkm1VWvNbl8EBsi2zPkO7SmCZVo2VKNBwMg?e=cz074r,,,2024-4,-1.0,Delivered on Time,810103156217.0,CTB13GDS25,60.0,48.8,2928.0,60.0,48.8,Fulfilled,2928.0,8.0,East,0.0,0.0,Retail,6.1,Apr-2024,Apr-2024,Fulfilled,Fulfilled
AG Baton Rouge,AG Baton Rouge,PO473870,2024-04-05,2024-04-19,13518.24,Fulfilled,2024-04-18,AG001,2024-04-18,13518.24, Baton Rouge,Los Angeles,LA,United States,US,70810,PO473870.pdf,https://ecosoulhome.sharepoint.com/:b:/s/Dataanalytics_Ecosoul/Efj9RqlbfGdDkm1VWvNbl8EBsi2zPkO7SmCZVo2VKNBwMg?e=cz074r,,,2024-4,-1.0,Delivered on Time,81010315107.0,CBC20,56.0,39.84,2231.04,56.0,39.84,Fulfilled,2231.04,8.0,East,0.0,0.0,Retail,4.98,Apr-2024,Apr-2024,Fulfilled,Fulfilled
AG Baton Rouge,AG Baton Rouge,PO473870,2024-04-05,2024-04-19,13518.24,Fulfilled,2024-04-18,AG001,2024-04-18,13518.24, Baton Rouge,Los Angeles,LA,United States,US,70810,PO473870.pdf,https://ecosoulhome.sharepoint.com/:b:/s/Dataanalytics_Ecosoul/Efj9RqlbfGdDkm1VWvNbl8EBsi2zPkO7SmCZVo2VKNBwMg?e=cz074r,,,2024-4,-1.0,Delivered on Time,81010315103.0,PLAS100,40.0,47.76,1910.4,40.0,47.76,Fulfilled,1910.4,24.0,East,0.0,0.0,Retail,1.99,Apr-2024,Apr-2024,Fulfilled,Fulfilled
AG Baton Rouge,AG Baton Rouge,PO498327,2025-01-07,2025-01-22,2378.64,Short Shipped,2025-01-28,AG002,2025-01-28,1542.0, Baton Rouge,Los Angeles,LA,United States,US,70810,https://ecosoulhome.sharepoint.com/:b:/s/Dataanalytics_Ecosoul/EYOJP3jq6EpHlnV2OqrrikQBdJfok5Ga5rryUYGvIiklWw?e=Rqn7u2,https://ecosoulhome.sharepoint.com/:b:/s/Dataanalytics_Ecosoul/EWZmUEUAw3lHmOn5RqV1yuwBmkrm0cLgAG1HwfMF0xIt1A?e=Vtt93G,,,2025-1,6.0,Delivered Late,850023080575.0,CBB16RO20,45.0,18.0,810.0,45.0,18.0,Fulfilled,810.0,8.0,East,0.0,0.0,Retail,2.25,Jan-2025,Jan-2025,Fulfilled,Fulfilled
AG Baton Rouge,AG Baton Rouge,PO498327,2025-01-07,2025-01-22,2378.64,Short Shipped,2025-01-28,AG002,2025-01-28,1542.0, Baton Rouge,Los Angeles,LA,United States,US,70810,https://ecosoulhome.sharepoint.com/:b:/s/Dataanalytics_Ecosoul/EYOJP3jq6EpHlnV2OqrrikQBdJfok5Ga5rryUYGvIiklWw?e=Rqn7u2,https://ecosoulhome.sharepoint.com/:b:/s/Dataanalytics_Ecosoul/EWZmUEUAw3lHmOn5RqV1yuwBmkrm0cLgAG1HwfMF0xIt1A?e=Vtt93G,,,2025-1,6.0,Delivered Late,810103156217.0,CTB13GDS25,15.0,48.8,732.0,15.0,48.8,Fulfilled,732.0,8.0,East,0.0,0.0,Retail,6.1,Jan-2025,Jan-2025,Fulfilled,Fulfilled
AG Baton Rouge,AG Baton Rouge,PO498327,2025-01-07,2025-01-22,2378.64,Short Shipped,2025-01-28,AG002,2025-01-28,1542.0, Baton Rouge,Los Angeles,LA,United States,US,70810,https://ecosoulhome.sharepoint.com/:b:/s/Dataanalytics_Ecosoul/EYOJP3jq6EpHlnV2OqrrikQBdJfok5Ga5rryUYGvIiklWw?e=Rqn7u2,https://ecosoulhome.sharepoint.com/:b:/s/Dataanalytics_Ecosoul/EWZmUEUAw3lHmOn5RqV1yuwBmkrm0cLgAG1HwfMF0xIt1A?e=Vtt93G,,,2025-1,6.0,Delivered Late,81010315107.0,CBC20,21.0,39.84,836.6400000000001,0.0,0.0,Short Shipped,0.0,8.0,East,21.0,836.6400000000001,Retail,4.98,Jan-2025,Jan-2025,Fulfilled,Short Shipped
